,DE0006202005,DE0005785802,DE000KSAG888,DE000STRA555,DE0006062144,DE000TUAG505,DE000A12DM80,DE000EVNK013,DE000LEG1110,DE0005089031,DE0006095003,DE000A161408,DE0005470405,DE000A0DJ6J9,DE000A1TNUT7,DE0006200108,DE0005232805,DE000A0WMPJ6,DE000WCH8881,DE0007165607,DE0005313704,DE0007030009,DE000A3ENQ51,DE0006766504,DE0007314007,DE000BASF111,DE000A1PHFF7,FR001400PVN6,DE0007461006,DE0005773303,DE0005158703,DE000A1TNV91,DE0006602006,DE0008232125,DE0006969603,DE0005093108,Total
2025-04-04,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.08,0.0,0.49,0.41,1.08,0.0,6.65
2025-04-03,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.96,0.0,6.410000000000001
2025-04-02,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.5,0.0,5.800000000000001
2025-04-01,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.5,0.0,5.760000000000001
2025-03-31,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,5.760000000000001
2025-03-30,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,5.760000000000001
2025-03-29,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,5.760000000000001
2025-03-28,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,5.760000000000001
2025-03-27,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.49,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,6.170000000000001
2025-03-26,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,5.66
2025-03-25,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.45,0.0,5.66
2025-03-24,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.53,0.0,5.65
2025-03-23,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.53,0.0,5.69
2025-03-22,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.53,0.0,5.69
2025-03-21,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.53,0.0,5.69
2025-03-20,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.51,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.73
2025-03-19,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.770000000000001
2025-03-18,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.620000000000001
2025-03-17,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.620000000000001
