,IT0005495657,FR0010220475,FR0000121147,FR0000130395,DE000FTG1111,DE000A161408,DE000A2YN900,DE000A0D6554,DE000A0LD6E6,DE000ZAL1111,DE000TUAG505,DE0008303504,DE0005664809,DE0007500001,DE000A1PHFF7,DE0005470405,DE0005313704,DE000A0WMPJ6,Total
2025-03-20,0.0,0.0,0.89,0.59,0.0,1.12,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.930000000000001
2025-03-19,0.0,0.0,0.89,0.59,0.0,1.12,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.930000000000001
2025-03-18,0.0,0.0,0.89,0.59,0.0,1.12,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.930000000000001
2025-03-17,0.0,0.0,0.89,0.59,0.0,1.12,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.930000000000001
2025-03-16,0.0,0.0,0.89,0.59,0.0,1.01,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.82
2025-03-15,0.0,0.0,0.89,0.59,0.0,1.01,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.82
2025-03-14,0.0,0.0,0.89,0.59,0.0,1.01,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.82
2025-03-13,0.0,0.0,0.89,0.59,0.0,1.01,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,5.82
2025-03-12,0.0,0.0,0.89,0.59,0.0,1.01,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.78
2025-03-11,0.0,0.0,0.89,0.59,0.0,0.88,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.65
