,DE000WAF3001,DE000A0Z23Q5,DE0005102008,DE000A0HHJR3,DE000A35JS40,DE000A1H8BV3,DE0005419105,DE000A0DJ6J9,DE000A0D6554,DE000NCA0001,DE000A1MMCC8,DE0005493365,DE0005800601,DE0005158703,FR001400T0D6,DE0005677108,DE0005089031,DE000A0WMPJ6,DE000KSAG888,DE0005470405,Total
2025-03-21,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-20,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-19,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.78,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.129999999999999
2025-03-17,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-16,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-15,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-14,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-13,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-12,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-11,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,7.82
2025-03-10,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.73,0.71,0.0,0.0,7.7299999999999995
2025-03-09,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.73,0.71,0.0,0.0,7.7299999999999995
2025-03-08,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.73,0.71,0.0,0.0,7.7299999999999995
2025-03-07,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.73,0.71,0.0,0.0,7.7299999999999995
2025-03-06,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.73,0.71,0.0,0.0,7.7299999999999995
2025-03-05,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.63,0.71,0.0,0.0,7.63
2025-03-04,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.51,0.71,0.0,0.0,7.51
2025-03-03,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.58,0.0,0.54,0.0,0.6,0.51,0.71,0.0,0.0,7.51
