,254900EGJIB7IR00B295,213800DTEB6NWEO6E777,549300GE4E8GIYNWBX20,5493007NNS3AR86BUB68,549300A7I33B1R3UGS67,549300SHI4D0QGWI8X45,549300RHSQCH106OWF77,213800RUT3C1PCHUQP60,-077-,5493003FS3JD468P6Z37,213800R9V4YAT2TH3762,549300G4GEZ3XA3HPV97,-085-,-066-,6BS8JLEICI3VGJ264L55,2138006AZELNYKR3A325,549300UZ0KD5HX862Y09,549300ARVD4LVNCUBN81,213800YQHG6V3VDDRN10,549300CNWH54BTXURM94,549300DCU7KOL83B3B08,549300XXZKX7UGH6E231,549300GHZ48Y72I6HZ24,549300GC5MDF1KXYMP06,MQILSVGGL6RJH5NDWP11,549300UV4DM2KIBBQ741,TNWE6LERP1CI9IDAZB80,549300A6QDHQKENHMS92,Total,Market_capitalization
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.49,1.92,0.59,0.0,0.51,0.61,0.57,0.0,0.0,6.04,529170000.0
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.49,1.92,0.59,0.0,0.51,0.61,0.57,0.0,0.0,6.04,529170000.0
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.54,1.92,0.59,0.0,0.51,0.61,0.57,0.0,0.0,6.090000000000001,529170000.0
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.68,1.92,0.59,0.0,0.51,0.61,0.57,0.0,0.0,6.180000000000001,529170000.0
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.68,1.92,0.59,0.0,0.51,0.61,0.57,0.0,0.0,6.250000000000001,529170000.0
2025-03-30,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.79,1.92,0.59,0.0,0.51,0.58,0.57,0.0,0.0,6.33,529170000.0
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.79,1.92,0.59,0.0,0.51,0.58,0.57,0.0,0.0,6.33,529170000.0
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.79,1.92,0.59,0.0,0.51,0.58,0.0,0.0,0.0,5.76,529170000.0
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.79,1.92,0.59,0.0,0.51,0.58,0.0,0.0,0.0,5.76,529170000.0
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.79,1.92,0.59,0.0,0.51,0.58,0.0,0.0,0.0,5.699999999999999,529170000.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.0,0.0,0.0,5.819999999999999,529170000.0
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.0,0.0,0.0,5.829999999999999,529170000.0
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.0,0.0,0.0,5.77,529170000.0
2025-03-22,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.0,0.0,0.0,5.77,529170000.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.0,0.0,0.0,5.77,529170000.0
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.57,0.0,0.0,6.34,529170000.0
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.6,0.0,0.0,0.0,5.719999999999999,529170000.0
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.89,1.92,0.59,0.0,0.51,0.59,0.0,0.0,0.0,5.81,529170000.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.0,0.51,0.59,0.0,0.0,0.0,5.909999999999999,529170000.0
2025-03-16,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.51,0.59,0.0,0.0,0.0,6.509999999999999,529170000.0
2025-03-15,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.51,0.59,0.0,0.0,0.0,6.509999999999999,529170000.0
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.51,0.59,0.0,0.0,0.0,6.509999999999999,529170000.0
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.51,0.59,0.0,0.0,0.0,6.509999999999999,529170000.0
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.51,0.59,0.0,0.0,0.0,6.419999999999999,529170000.0
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.51,0.0,0.0,0.0,0.0,5.829999999999999,529170000.0
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,5.319999999999999,529170000.0
2025-03-09,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,5.969999999999999,529170000.0
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,5.969999999999999,529170000.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,5.969999999999999,529170000.0
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,5.969999999999999,529170000.0
2025-03-05,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.06,529170000.0
2025-03-04,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1499999999999995,529170000.0
2025-03-03,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1499999999999995,529170000.0
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1499999999999995,529170000.0
2025-03-01,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1499999999999995,529170000.0
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-27,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-26,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-22,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.05,529170000.0
2025-02-21,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.49,0.6,0.0,0.0,0.0,0.0,0.0,6.01,529170000.0
2025-02-20,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.109999999999999,529170000.0
2025-02-19,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,529170000.0
