,549300SHI4D0QGWI8X45,549300RHSQCH106OWF77,549300DCU7KOL83B3B08,213800RUT3C1PCHUQP60,-077-,5493007QZ05MKPON5O03,213800YQHG6V3VDDRN10,549300GHZ48Y72I6HZ24,549300EJ1ZB4YYIOMD56,54930030NRYV5EVS2N02,549300ARVD4LVNCUBN81,549300X1IL2SQS14P736,549300XXZKX7UGH6E231,MQILSVGGL6RJH5NDWP11,70DNWEAINTGFO4DMV441,TNWE6LERP1CI9IDAZB80,-066-,549300LPS48DJ96NXT15,Total,Market_capitalization
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.68,0.71,0.0,2.42,1250000000.0
2025-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.5,0.0,0.0,0.68,0.71,0.0,2.43,1250000000.0
2025-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.5,0.0,0.0,0.68,0.71,0.0,2.43,1250000000.0
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.5,0.0,0.0,0.68,0.71,0.0,2.43,1250000000.0
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.4299999999999997,1250000000.0
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.4299999999999997,1250000000.0
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.4299999999999997,1250000000.0
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.5,1250000000.0
2025-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.42,1250000000.0
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.42,1250000000.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.42,1250000000.0
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.48,0.0,0.0,0.7,0.71,0.0,2.42,1250000000.0
2025-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.7,0.71,0.0,1.91,1250000000.0
2025-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.64,0.71,0.0,1.85,1250000000.0
2025-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.64,0.71,0.0,1.8399999999999999,1250000000.0
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.64,0.71,0.0,1.85,1250000000.0
2025-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.64,0.71,0.0,1.85,1250000000.0
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.64,0.71,0.0,1.85,1250000000.0
2025-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.54,0.71,0.0,1.74,1250000000.0
2025-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.49,1250000000.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.49,1250000000.0
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.49,1250000000.0
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,1250000000.0
2025-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,1250000000.0
2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,1250000000.0
2025-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,1250000000.0
2025-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,1250000000.0
2025-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,1250000000.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1250000000.0
2025-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1250000000.0
2025-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1250000000.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1250000000.0
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1250000000.0
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1250000000.0
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.46,0.0,0.0,0.0,1.06,1250000000.0
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.46,0.0,0.0,0.0,1.06,1250000000.0
2025-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.46,0.0,0.0,0.0,1.06,1250000000.0
2025-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.46,0.0,0.0,0.0,1.06,1250000000.0
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.46,0.0,0.0,0.0,1.06,1250000000.0
2025-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.46,0.0,0.0,0.0,0.97,1250000000.0
2025-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.46,0.0,0.0,0.0,0.97,1250000000.0
2025-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.46,0.0,0.0,0.0,0.97,1250000000.0
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.54,0.0,0.0,0.0,1.05,1250000000.0
2025-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.54,0.0,0.0,0.0,1.05,1250000000.0
2025-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.54,0.0,0.0,0.0,1.05,1250000000.0
2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.54,0.0,0.0,0.0,1.05,1250000000.0
2025-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.54,0.0,0.0,0.0,1.05,1250000000.0
2025-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.51,1250000000.0
2025-01-28,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-27,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-26,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-24,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-23,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-22,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,0.54,0.0,0.0,0.0,1.97,1250000000.0
2025-01-21,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.5,0.54,0.0,0.0,0.0,2.09,1250000000.0
2025-01-20,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.13,1250000000.0
2025-01-19,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.13,1250000000.0
2025-01-18,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.13,1250000000.0
2025-01-17,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.13,1250000000.0
2025-01-16,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.19,1250000000.0
2025-01-15,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.27,1250000000.0
2025-01-14,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.1799999999999997,1250000000.0
2025-01-13,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.1799999999999997,1250000000.0
2025-01-12,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.1999999999999997,1250000000.0
2025-01-11,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.1999999999999997,1250000000.0
2025-01-10,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.1999999999999997,1250000000.0
2025-01-09,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,2.1999999999999997,1250000000.0
2025-01-08,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.5,0.0,0.0,0.0,0.0,1.65,1250000000.0
