,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2024-08-30,0,1,1,0,0,0.64,18960000000.0,0.23,0.87
2024-08-29,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-28,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-27,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-26,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-25,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-24,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-23,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-22,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-21,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-20,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-19,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-18,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-17,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-16,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-15,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-14,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-13,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-12,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-11,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-10,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-09,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-08,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-07,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-06,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-05,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-04,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-03,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-02,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-08-01,0,1,1,0,0,0.64,18960000000.0,0.19,0.8300000000000001
2024-07-31,0,1,1,0,0,0.64,18960000000.0,0.19,0.8300000000000001
2024-07-30,0,1,1,0,0,0.64,18960000000.0,0.22,0.86
2024-07-29,0,1,1,0,0,0.64,18960000000.0,0.22,0.86
2024-07-28,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-27,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-26,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-25,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-24,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-23,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-22,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-21,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-20,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-19,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-18,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-17,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-16,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-15,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-14,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-13,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-12,0,1,1,0,0,0.64,18960000000.0,0.25,0.89
2024-07-11,0,1,1,0,0,0.64,18960000000.0,0.26,0.9
2024-07-10,0,1,1,0,0,0.64,18960000000.0,0.26,0.9
2024-07-09,0,1,1,0,0,0.64,18960000000.0,0.26,0.9
2024-07-08,0,1,1,0,0,0.64,18960000000.0,0.23,0.87
2024-07-07,0,1,1,0,0,0.64,18960000000.0,0.23,0.87
2024-07-06,0,1,1,0,0,0.64,18960000000.0,0.23,0.87
2024-07-05,0,1,1,0,0,0.64,18960000000.0,0.23,0.87
2024-07-04,0,1,1,0,0,0.64,18960000000.0,0.23,0.87
2024-07-03,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-07-02,0,1,1,0,0,0.64,18960000000.0,0.2,0.8400000000000001
2024-07-01,0,1,1,0,0,0.64,18960000000.0,0.17,0.81
2024-06-30,0,1,1,0,0,0.64,18580000000.0,0.16,0.8
2024-06-29,0,1,1,0,0,0.64,18580000000.0,0.16,0.8
2024-06-28,0,1,1,0,0,0.64,18580000000.0,0.16,0.8
2024-06-27,0,1,1,0,0,0.64,18580000000.0,0.16,0.8
2024-06-26,0,1,1,0,0,0.64,18580000000.0,0.16,0.8
2024-06-25,0,1,1,0,0,0.64,18580000000.0,0.16,0.8
2024-06-24,0,2,0,0,0,0.64,18580000000.0,0.14,0.78
2024-06-23,0,2,0,0,0,0.64,18580000000.0,0.14,0.78
2024-06-22,0,2,0,0,0,0.64,18580000000.0,0.14,0.78
2024-06-21,0,2,0,0,0,0.64,18580000000.0,0.14,0.78
2024-06-20,0,2,0,0,0,0.64,18580000000.0,0.14,0.78
2024-06-19,0,2,0,0,0,0.64,18580000000.0,0.13,0.77
2024-06-18,0,2,0,0,0,0.64,18580000000.0,0.13,0.77
2024-06-17,0,2,0,0,0,0.64,18580000000.0,0.13,0.77
2024-06-16,0,1,1,0,0,0.57,18580000000.0,0.15,0.72
2024-06-15,0,1,1,0,0,0.57,18580000000.0,0.15,0.72
2024-06-14,0,1,1,0,0,0.57,18580000000.0,0.15,0.72
2024-06-13,0,1,1,0,0,0.57,18580000000.0,0.18,0.75
2024-06-12,0,1,1,0,0,0.57,18580000000.0,0.19,0.76
2024-06-11,0,1,1,0,0,0.57,18580000000.0,0.18,0.75
2024-06-10,0,1,1,0,0,0.57,18580000000.0,0.19,0.76
2024-06-09,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-08,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-07,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-06,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
