,<05,<1,<2,<5,>=5,FR,GB,IE,Market_capitalization,US,Total
2025-01-31,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.08,0.99
2025-01-30,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.08,0.99
2025-01-29,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.09,1.0
2025-01-28,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.09,1.0
2025-01-27,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.09,1.0
2025-01-26,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.09,1.0
2025-01-25,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.09,1.0
2025-01-24,0,1,1,0,0,0.0,0.91,0.0,2970020000.0,0.09,1.0
2025-01-23,0,2,0,0,0,0.0,0.92,0.0,2970020000.0,0.0,0.92
2025-01-22,0,2,0,0,0,0.0,0.92,0.0,2970020000.0,0.0,0.92
2025-01-21,0,2,0,0,0,0.0,0.83,0.0,2970020000.0,0.0,0.83
2025-01-20,0,1,0,1,0,0.0,1.04,0.0,2970020000.0,0.0,1.04
2025-01-19,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-18,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-17,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-16,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-15,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-14,0,1,0,1,0,0.0,1.04,0.0,2970020000.0,0.0,1.04
2025-01-13,0,1,0,1,0,0.0,1.04,0.0,2970020000.0,0.0,1.04
2025-01-12,0,1,0,1,0,0.0,1.04,0.0,2970020000.0,0.0,1.04
2025-01-11,0,1,0,1,0,0.0,1.04,0.0,2970020000.0,0.0,1.04
2025-01-10,0,1,0,1,0,0.0,1.04,0.0,2970020000.0,0.0,1.04
2025-01-09,0,1,0,1,0,0.0,1.05,0.0,2970020000.0,0.0,1.05
2025-01-08,0,1,0,1,0,0.0,1.05,0.0,2970020000.0,0.0,1.05
2025-01-07,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-06,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-05,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-04,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-03,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-02,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2025-01-01,0,1,0,1,0,0.0,1.03,0.0,2970020000.0,0.0,1.03
2024-12-31,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-30,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-29,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-28,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-27,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-26,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-25,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-24,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-23,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-22,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-21,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-20,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-19,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-18,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-17,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-16,0,1,0,1,0,0.0,1.02,0.0,3020020000.0,0.0,1.02
2024-12-15,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-14,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-13,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-12,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-11,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-10,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-09,0,1,0,1,0,0.0,1.01,0.0,3020020000.0,0.0,1.01
2024-12-08,0,1,0,1,0,0.0,0.99,0.0,3020020000.0,0.0,0.99
2024-12-07,0,1,0,1,0,0.0,0.99,0.0,3020020000.0,0.0,0.99
2024-12-06,0,1,0,1,0,0.0,0.99,0.0,3020020000.0,0.0,0.99
2024-12-05,0,1,0,1,0,0.0,0.99,0.0,3020020000.0,0.0,0.99
2024-12-04,0,1,0,1,0,0.0,0.99,0.0,3020020000.0,0.0,0.99
2024-12-03,0,1,1,0,0,0.0,1.05,0.0,3020020000.0,0.0,1.05
2024-12-02,0,1,1,0,0,0.0,1.05,0.0,3020020000.0,0.0,1.05
2024-12-01,0,1,1,0,0,0.0,1.05,0.0,3020020000.0,0.0,1.05
2024-11-30,0,1,1,0,0,0.0,1.05,0.0,3020020000.0,0.0,1.05
2024-11-29,0,1,1,0,0,0.0,1.05,0.0,3020020000.0,0.0,1.05
2024-11-28,0,1,1,0,0,0.0,1.05,0.0,3020020000.0,0.0,1.05
2024-11-27,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-26,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-25,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-24,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-23,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-22,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-21,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-20,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-19,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-18,0,1,1,0,0,0.0,1.08,0.0,3020020000.0,0.0,1.08
2024-11-17,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-16,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-15,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-14,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-13,0,1,1,0,0,0.0,1.07,0.0,3020020000.0,0.0,1.07
2024-11-12,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-11,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-10,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-09,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-08,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-07,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-06,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-05,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-04,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-03,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-02,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-11-01,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-10-31,0,1,1,0,0,0.0,1.12,0.0,3020020000.0,0.0,1.12
2024-10-30,0,1,1,0,0,0.0,1.11,0.0,3020020000.0,0.0,1.11
2024-10-29,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-28,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-27,0,0,2,0,0,0.0,1.16,0.0,3020020000.0,0.0,1.16
2024-10-26,0,0,2,0,0,0.0,1.16,0.0,3020020000.0,0.0,1.16
2024-10-25,0,0,2,0,0,0.0,1.16,0.0,3020020000.0,0.0,1.16
2024-10-24,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-23,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-22,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-21,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-20,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-19,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-18,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-17,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-16,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-15,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-14,0,0,2,0,0,0.0,1.17,0.0,3020020000.0,0.0,1.17
2024-10-13,0,0,2,0,0,0.0,1.16,0.0,3020020000.0,0.0,1.16
2024-10-12,0,0,2,0,0,0.0,1.16,0.0,3020020000.0,0.0,1.16
2024-10-11,0,0,2,0,0,0.0,1.16,0.0,3020020000.0,0.0,1.16
2024-10-10,0,1,1,0,0,0.0,1.11,0.0,3020020000.0,0.0,1.11
2024-10-09,0,1,1,0,0,0.0,1.11,0.0,3020020000.0,0.0,1.11
2024-10-08,0,1,1,0,0,0.0,1.11,0.0,3020020000.0,0.0,1.11
2024-10-07,0,1,1,0,0,0.0,1.06,0.0,3020020000.0,0.0,1.06
2024-10-06,0,1,1,0,0,0.0,1.04,0.0,3020020000.0,0.0,1.04
2024-10-05,0,1,1,0,0,0.0,1.04,0.0,3020020000.0,0.0,1.04
2024-10-04,0,1,1,0,0,0.0,1.04,0.0,3020020000.0,0.0,1.04
2024-10-03,0,1,1,0,0,0.0,1.04,0.0,3020020000.0,0.0,1.04
2024-10-02,0,1,1,0,0,0.0,1.04,0.0,3020020000.0,0.0,1.04
2024-10-01,0,1,1,0,0,0.0,1.04,0.0,3020020000.0,0.0,1.04
2024-09-30,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-29,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-28,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-27,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
