,<05,<1,<2,<5,>=5,GB,IT,JE,Market_capitalization,NL,US,Total
2025-01-29,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-01-28,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-01-27,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-26,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-25,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-24,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-23,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-22,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-21,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-20,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.14,1.2000000000000002
2025-01-19,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.14,1.2000000000000002
2025-01-18,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.14,1.2000000000000002
2025-01-17,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.14,1.2000000000000002
2025-01-16,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.14,1.2000000000000002
2025-01-15,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.14,1.2000000000000002
2025-01-14,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-13,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-12,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-11,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-10,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.07,1.1300000000000001
2025-01-09,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-08,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-07,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-06,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-05,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-04,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-03,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-02,1,0,1,1,0,0.11,0.81,0.14,9630000000.0,0.0,0.08,1.1400000000000001
2025-01-01,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-31,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-30,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-29,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-28,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-27,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-26,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-25,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-24,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-23,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-22,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-21,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-20,1,0,1,1,0,0.12,0.81,0.14,9630000000.0,0.0,0.08,1.1500000000000001
2024-12-19,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-18,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-17,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-16,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-15,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-14,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-13,2,0,0,1,0,0.12,0.0,0.14,9630000000.0,0.0,0.08,0.34
2024-12-12,2,0,0,1,0,0.12,0.0,0.16,9630000000.0,0.0,0.08,0.36000000000000004
2024-12-11,2,0,0,1,0,0.12,0.0,0.16,9630000000.0,0.0,0.08,0.36000000000000004
2024-12-10,2,0,0,1,0,0.13,0.0,0.16,9630000000.0,0.0,0.08,0.37000000000000005
2024-12-09,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
2024-12-08,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
